,매장명,주소,구,lat,lng
22,역삼더블루점,"서울 강남구 논현로63길 16 (역삼동, 역삼종합시장 더블루)",강남구,37.492909,127.0390723
23,역삼상록점,"서울 강남구 테헤란로43길 18 (역삼동, SC빌딩)",강남구,37.5044225,127.044027
24,역삼역점,서울 강남구 테헤란로25길 17 (역삼동),강남구,37.5018112,127.0352111
25,역삼월드점,"서울 강남구 역삼로52길 14 (역삼동, 도곡프라자)",강남구,37.4985444,127.0479369
26,역삼점,서울 강남구 논현로72길 13 (역삼동),강남구,37.4958415,127.0405444
27,역삼중앙점,서울 강남구 언주로81길 8 (역삼동),강남구,37.500366,127.042869
28,역삼충현점,서울 강남구 논현로98길 7 (역삼동),강남구,37.5037879,127.0363296
29,역삼플래티넘점,"서울 강남구 테헤란로4길 46 (역삼동, 쌍용플래티넘밸류)",강남구,37.4953323,127.0303725
30,을지병원사거리점,서울 강남구 도산대로30길 7 (논현동),강남구,37.5194023,127.0294305
31,이디야커피랩,"서울 강남구 논현로 636 (논현동, 이디야빌딩)",강남구,37.5202946,127.0359457
32,일원동점,서울 강남구 양재대로27길 20 (일원동),강남구,37.4906985,127.0883948
33,청담사거리점,서울 강남구 도산대로 521 (청담동),강남구,37.524866,127.050373
34,청담역점,"서울 강남구 삼성로 721 (청담동, 룩희 819)",강남구,37.5200681,127.0491634
35,포이사거리점,서울 강남구 개포로 218 (개포동),강남구,37.478468,127.046625
36,학동역점,"서울 강남구 학동로 219 (논현동, 국제빌딩)",강남구,37.5097925,127.021578
37,학동제마점,서울 강남구 학동로34길 22 (논현동),강남구,37.51313870000001,127.03365
38,한티역점,서울 강남구 도곡로69길 8 (대치동),강남구,37.4979551,127.0561304
39,강동고덕교차로점,"서울 강동구 고덕로 421 (강일동, 대한연세요양원)",강동구,37.55737130000001,127.1725399
40,강동구청점,"서울 강동구 성내로6길 20 (성내동, 청일 베르네)",강동구,37.5288753,127.1222899
41,강동성내점,서울 강동구 풍성로 162 (성내동),강동구,37.5304813,127.1298584
42,강동신명초교점,"서울 강동구 명일로 260 (길동, 길동신동아아파트)",강동구,37.5396157,127.1459293
43,강동역점,"서울 강동구 천호대로 1065 (천호동, 강동상떼빌)",강동구,37.5369023,127.1302611
44,고덕강일2지구점,서울 강동구 아리수로93나길 76 (강일동),강동구,37.5721986,127.1742256
45,고덕그라시움후문점,서울 강동구 동남로82길 121 (고덕동),강동구,37.5642658,127.1671244
46,고덕점,"서울 강동구 동남로75길 19 (명일동, 명일빌딩)",강동구,37.5540951,127.1551471
47,길동사거리점,서울 강동구 천호대로 1132 (성내동),강동구,37.5304933,127.128992
48,길동역점,서울 강동구 양재대로 1471 (길동),강동구,37.5372822,127.1394091
49,길동중앙점,서울 강동구 명일로 200 (길동),강동구,37.5365347,127.1459382
50,둔촌점,서울 강동구 양재대로 1377 (성내동),강동구,37.5304933,127.128992
51,명일역점,"서울 강동구 구천면로 424 (명일동, 명일메가타운)",강동구,37.5503165,127.1455692
52,명일중앙점,"서울 강동구 상암로 210 (명일동, 명일현대종합상가)",강동구,37.5484567,127.1487867
53,보훈병원점,"서울 강동구 명일로 110 (둔촌동, 둔촌동암펠로스타워)",강동구,37.5287091,127.1431767
54,상일리엔파크점,"서울 강동구 상일로 74 (상일동, 고덕리엔파크3단지아파트)",강동구,37.5525612,127.1752562
55,암사중앙점,"서울 강동구 암사길 50 (암사동, 제이빌더스)",강동구,37.5515869,127.1348633
56,올림픽북문점,서울 강동구 성안로 7 (성내동),강동구,37.5245419,127.1288923
57,천호로데오점,서울 강동구 천호대로 1027 (천호동),강동구,37.5382414,127.1263464
58,천호중앙점,"서울 강동구 올림픽로 660 (천호동, 천호엘크루주상복합)",강동구,37.5401616,127.1245175
59,천호초교사거리점,"서울 강동구 구천면로 304 (천호동, 일주빌딩)",강동구,37.5696186,127.0236039
60,천호현대점,서울 강동구 올림픽로 665 (천호동),강동구,37.5410289,127.1237152
61,가오리역점,서울 강북구 삼각산로 108 (수유동),강북구,37.6405388,127.0161692
62,광산사거리점,"서울 강북구 노해로 91 (수유동, 진흥빌딩)",강북구,37.6438957,127.0225697
63,미아꿈의숲해링턴점,"서울 강북구 오현로 45 (미아동, 꿈의숲 해링턴 플레이스)",강북구,37.6185566,127.034085
64,미아역점,서울 강북구 도봉로 207 -3(미아동),강북구,37.6271102,127.0254395
65,미아중앙점,서울 강북구 도봉로 128 (미아동),강북구,37.6204645,127.0287631
66,번동점,"서울 강북구 오현로 194 (번동, 덕수빌딩)",강북구,37.6288338,127.0398506
67,북한산점,서울 강북구 4.19로 85 (수유동),강북구,37.6447499,127.0056031
68,삼각산점,서울 강북구 솔샘로40길 3 (미아동),강북구,37.6199203,127.0160107
69,수유사거리점,"서울 강북구 덕릉로 82 (수유동, 제네스타워)",강북구,37.6344033,127.0228501
70,수유역점,서울 강북구 도봉로 355 (수유동),강북구,37.6393918,127.026749
71,우이역도선사점,서울 강북구 삼양로173길 21 (우이동),강북구,37.6625002,127.0113047
72,한신대점,서울 강북구 덕릉로 31 (수유동),강북구,37.6342221,127.0169343
73,가양역점,서울 강서구 양천로 500 (등촌동),강서구,37.5575223,126.8559611
74,강서nc점,서울 강서구 강서로54길 11 (등촌동),강서구,37.5593356,126.839278
75,강서교차로점,"서울 강서구 공항대로 437 (등촌동, 주신기업(주))",강서구,37.5550159,126.8559101
76,강서구청점,"서울 강서구 화곡로 292 (화곡동, 서광프리메라)",강서구,37.5501456,126.8485937
77,강서한강자이점,서울 강서구 양천로 401 (가양동),강서구,37.5678802,126.8510787
78,개화산점,"서울 강서구 양천로 28 (방화동, 벽산에어트리움)",강서구,37.572254,126.8070962
79,공항시장역점,"서울 강서구 방화동로 37 (방화동, 메디스타워)",강서구,37.5640044,126.8107915
80,김해국제공항국내선점,부산 강서구 공항진입로 108 (대저2동),강서구,35.1728728,128.9458
81,김해국제공항국제선점,부산 강서구 공항진입로 108 (대저2동),강서구,35.1728728,128.9458
82,까치산로점,서울 강서구 까치산로 182 (화곡동),강서구,37.5533188,126.8538953
83,까치산역점,서울 강서구 강서로17길 6 (화곡동),강서구,37.5334091,126.8452244
84,내발산점,"서울 강서구 강서로 304 (내발산동, 영종빌딩)",강서구,37.5527284,126.8365671
85,등촌역점,서울 강서구 등촌로 217 (등촌동),강서구,37.5491585,126.8633055
86,등촌중앙점,"서울 강서구 등촌로 67 (등촌동, 컴스웨이빌딩)",강서구,37.5360826,126.8631621
87,렘넌트문화센터점,"서울 강서구 화곡로63길 65 (등촌동, 예원교회)",강서구,37.5579326,126.8491762
88,마곡나루역점,"서울 강서구 마곡중앙5로 6 (마곡동, 마곡나루역보타닉푸르지오시티)",강서구,37.5671562,126.8272843
89,마곡수명산점,"서울 강서구 수명로 68-27 (내발산동, 웨스트엔드문화센터)",강서구,37.5526771,126.8266819
90,마곡퀸즈파크9점,"서울 강서구 공항대로 247 (마곡동, 퀸즈파크나인)",강서구,37.5593023,126.835223
91,마곡파인스퀘어점,"서울 강서구 마곡중앙4로 22 (마곡동, 파인스퀘어)",강서구,37.5584156,126.8294265
92,마곡헤리움점,"서울 강서구 마곡중앙5로1길 25 (마곡동, 마곡헤리움2차)",강서구,37.569266,126.826403
93,방화동로점,서울 강서구 방화동로 95 (방화동),강서구,37.569044,126.812578
94,방화사거리점,"서울 강서구 양천로 72 (방화동, 해성빌딩)",강서구,37.5729862,126.8076185
95,부산명지너울공원점,부산 강서구 명지국제6로232번길 20 (명지동),강서구,35.0957823,128.9245818
96,부산명지롯데시네마점,부산 강서구 명지국제6로 107 (명지동),강서구,35.0928415,128.9116636
97,부산명지점,부산 강서구 명지오션시티8로16번길 25 (명지동),강서구,35.0869001,128.9100223
98,부산신호동점,부산 강서구 신호산단5로 42 (신호동),강서구,35.0831952,128.8777121
99,부산지사명진파크뷰점,"부산 강서구 과학산단2로20번길 11 (지사동, 명진파크뷰)",강서구,35.1508917,128.8318341
100,서부산유통지구역점,부산 강서구 유통단지1로 53 (대저2동),강서구,35.1670105,128.9549796
101,서울공진초교점,"서울 강서구 마곡중앙1로 26 (마곡동, 마곡엠리체)",강서구,37.5586533,126.8238095
102,송정역점,서울 강서구 공항대로 24 (공항동),강서구,37.56164649999999,126.8094664
103,신방화중앙점,"서울 강서구 방화대로34길 92 (방화동, 불해빌딩)",강서구,37.5708766,126.8213439
104,염창동점,서울 강서구 양천로 689 (염창동),강서구,37.5505237,126.8729536
105,염창블루나인점,서울 강서구 양천로 583 (염창동),강서구,37.5572518,126.864441
106,우장산동점,서울 강서구 우현로 15 (화곡동),강서구,37.5471836,126.8436095
107,화곡남부시장점,서울 강서구 등촌로5길 80 (화곡동),강서구,37.5330599,126.8589624
108,화곡로점,서울 강서구 화곡로 133 (화곡동),강서구,37.5408593,126.8364773
109,화곡본동시장점,서울 강서구 까치산로4길 11 (화곡동),강서구,37.5422225,126.8443024
110,화곡사거리점,서울 강서구 곰달래로 135 (화곡동),강서구,37.5307873,126.8479275
111,화곡중앙시장점,서울 강서구 가로공원로76길 61 (화곡동),강서구,37.5344113,126.8383918
112,관악구청점,"서울 관악구 관악로 164 (봉천동, 대우디오슈페리움1단지)",관악구,37.492156,127.0309387
113,관악우성점,서울 관악구 관악로 232 (봉천동),관악구,37.4849477,126.9560274
114,관악하나로마트점,"서울 관악구 남부순환로 1369 (신림동, 관악농협농산물백화점)",관악구,37.4800913,126.9028197
115,낙성대역점,서울 관악구 남부순환로 1915 (봉천동),관악구,37.4779262,126.9622219
116,난곡사거리점,서울 관악구 남부순환로 1444 (신림동),관악구,37.4809038,126.9112754
117,남현홈플러스점,"서울 관악구 과천대로 909 (남현동, 남현프라자)",관악구,37.4751294,126.9811662
118,녹두거리점,서울 관악구 신림로 91 (신림동),관악구,37.4702781,126.93912
119,보라매중앙점,"서울 관악구 보라매로 62 (봉천동, 보라매삼성아파트)",관악구,37.4940971,126.9278545
120,봉일시장점,서울 관악구 은천로 23 (봉천동),관악구,37.4864167,126.9379221
121,봉천역점,서울 관악구 남부순환로 1725 (봉천동),관악구,37.4826777,126.9418946
122,봉천현대시장점,서울 관악구 양녕로 39-1 (봉천동),관악구,37.4857191,126.9467499
123,사당중앙점,서울 관악구 과천대로 951 (남현동),관악구,37.475474,126.981286
124,서울대중앙점,서울 관악구 남부순환로216길 2 (봉천동),관악구,37.4813531,126.9489899
125,신대방역점,서울 관악구 난곡로 368 (신림동),관악구,37.4869108,126.9138009
126,신림난곡점,서울 관악구 난곡로 197 (신림동),관악구,37.4725378,126.9189387
127,신림남부초교점,서울 관악구 남부순환로 1541-1 (신림동),관악구,37.48340719999999,126.9218888
128,신림대학동점,서울 관악구 호암로26길 17 (신림동),관악구,37.4707693,126.9346116
129,신림문화교점,"서울 관악구 신림로46길 1 (신림동, 서원동성당)",관악구,37.4785725,126.9334208
130,신림미성점,서울 관악구 난곡로 250 (신림동),관악구,37.4765282,126.9159734
131,신림신원점,서울 관악구 신원로 16 (신림동),관악구,37.480802,126.928079
132,신림신화교점,서울 관악구 신림로 199 (신림동),관악구,37.4755402,126.9362015
133,신림역점,서울 관악구 신림로 312 (신림동),관악구,37.4822288,126.9301828
