name,address,gu,brand,gas_price,dsel_price,SELF,CWSH,LPG,MAINT,CVS,SEL24,lat,lng
정해네트웍스(주)일진주유소,서울 광진구 동일로 413 (중곡동),광진구,S-OIL,1567,1487,Y,Y,N,N,N,Y,37.56354400000001,127.0888304
삼호주유소,서울 광진구 천호대로 809 (광장동),광진구,S-OIL,1697,1597,Y,Y,N,N,N,Y,37.5456356,127.1037341
유니스에너지 자양주유소,서울 광진구 아차산로 298 (자양동),광진구,SK에너지,1698,1598,N,Y,N,N,N,N,37.531692,127.074516
강평주유소 ㈜강평텔레콤,서울 광진구 아차산로 616,광진구,SK에너지,1798,1697,N,Y,N,N,N,N,37.5476119,127.1072051
서서울고속주유소,서울 구로구 경인로 150 (오류동),구로구,SK에너지,1479,1414,Y,Y,N,N,N,Y,37.49167509999999,126.8428418
㈜자연에너지 고척주유소,서울 구로구 고척로 199 (고척동),구로구,HD현대오일뱅크,1479,1414,Y,Y,N,N,N,N,37.5051273,126.8554406
씨앤에스유통(주) 구로드림주유소,서울 구로구 경인로 41 (온수동),구로구,S-OIL,1490,1415,Y,Y,N,N,N,N,37.4903245,126.8256021
SK구로주유소,서울 구로구 구일로 94 (구로동),구로구,SK에너지,1515,1425,N,Y,N,N,N,N,37.4936018,126.872189
극동유화(주) 항동주유소,서울 구로구 서해안로 2154 (항동),구로구,S-OIL,1519,1449,Y,Y,N,N,N,N,37.4834391,126.8278279
신성주유소,서울 구로구 구로동로 187 (구로제2동),구로구,HD현대오일뱅크,1525,1435,Y,Y,N,N,N,N,37.4951588,126.8823886
대원셀프주유소,서울 구로구 개봉로 7,구로구,HD현대오일뱅크,1525,1435,Y,Y,N,N,N,N,37.4861643,126.8561585
(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),구로구,GS칼텍스,1525,1435,Y,Y,N,Y,N,N,37.4963064,126.8884444
구인주유소,서울 구로구 경인로 558 (구로동),구로구,SK에너지,1525,1435,N,Y,N,Y,Y,N,37.5042779,126.8860944
대성산업(주)디큐브주유소,서울 구로구 경인로 650 (신도림동),구로구,GS칼텍스,1539,1469,N,N,N,N,N,Y,37.5078855,126.8870874
HD현대오일뱅크㈜직영 구로셀프주유소,서울 구로구 시흥대로 531,구로구,HD현대오일뱅크,1574,1474,Y,Y,N,Y,N,Y,37.4810027,126.8992662
SK에너지(주)직영 개봉동주유소,서울 구로구 경인로 290 (개봉동),구로구,SK에너지,1577,1514,N,Y,N,N,N,N,37.4863899,126.8567675
HD현대오일뱅크㈜직영 신구로주유소,서울 구로구 가마산로 293 (구로동),구로구,HD현대오일뱅크,1584,1513,N,Y,N,N,N,N,37.4975223,126.8924841
개봉주유소,서울 구로구 고척로 115 (개봉동),구로구,HD현대오일뱅크,1597,1497,Y,Y,N,N,N,N,37.50193720000001,126.8468175
동아주유소,서울 구로구 도림로 91 (구로동),구로구,S-OIL,1798,1598,N,N,N,N,Y,N,37.4908509,126.8931878
JHC에너지,서울 구로구 시흥대로 539,구로구,HD현대오일뱅크,1853,1763,N,N,N,Y,N,N,37.4815266,126.8998375
구광주유소,서울 금천구 서부샛길 674 (가산동),금천구,S-OIL,1515,1425,N,Y,N,N,N,N,37.4820373,126.8751711
(주)화동유업 화동주유소,서울 금천구 시흥대로 484,금천구,SK에너지,1523,1446,Y,Y,N,N,N,N,37.4767974,126.8991596
HD현대오일뱅크㈜직영 금천현대셀프주유소,서울 금천구 독산로 147 (시흥동),금천구,HD현대오일뱅크,1524,1447,Y,Y,N,N,N,N,37.460506,126.9045162
백산주유소,서울특별시 금천구  시흥대로 174 (시흥동),금천구,S-OIL,1575,1475,Y,Y,N,Y,N,N,37.4496856,126.9029496
지에스칼텍스(주)일신주유소,서울 금천구 시흥대로 118,금천구,GS칼텍스,1579,1479,Y,Y,N,N,N,N,37.4444739,126.9042657
현대오일뱅크㈜직영 금천제일주유소,서울 금천구 남부순환로 1410 (독산동),금천구,HD현대오일뱅크,1579,1479,N,Y,N,N,N,N,37.4802077,126.9074805
대득에너지(금천셀프주유소),서울 금천구  시흥대로 81 (시흥동),금천구,GS칼텍스,1595,1495,Y,Y,N,N,Y,Y,37.4412805,126.9029246
SK에너지(주) 이가주유소,서울 금천구 시흥대로 441,금천구,SK에너지,1595,1495,N,Y,N,Y,N,N,37.4730289,126.8979341
이엠석유(주)배꽃나라주유소,서울 노원구 화랑로 466 (공릉1동),노원구,GS칼텍스,1505,1435,Y,Y,N,Y,N,N,37.6238137,127.0735097
월계주유소,서울 노원구 월계로 252 (월계동),노원구,GS칼텍스,1525,1445,Y,Y,N,Y,N,N,37.6247784,127.0507659
(주)정건에너지직영,서울 노원구 노원로17길 29 (하계동),노원구,HD현대오일뱅크,1525,1445,Y,Y,N,N,N,N,37.642188,127.0703943
화랑대주유소,서울 노원구 화랑로 483,노원구,HD현대오일뱅크,1535,1435,Y,Y,N,N,N,N,37.61957719999999,127.0806305
삼육주유소,서울 노원구 화랑로 822 (공릉동),노원구,SK에너지,1535,1465,Y,Y,N,N,N,N,37.6386379,127.1090597
성북역주유소,서울 노원구 광운로 95 (월계동),노원구,GS칼텍스,1538,1468,N,Y,N,N,N,N,37.625771,127.0599365
태릉솔밭주유소,서울 노원구 노원로 49 (공릉동),노원구,S-OIL,1545,1475,Y,Y,N,N,N,Y,37.6259652,127.0855897
한신주유소,서울 노원구 동일로 1089 (공릉동),노원구,S-OIL,1550,1490,Y,Y,N,N,N,N,37.6304722,127.0909904
남선석유(주)구도일주유소 불암,서울 노원구 한글비석로 268 (중계동),노원구,S-OIL,1555,1485,Y,Y,N,N,N,N,37.6513513,127.0772401
SK에너지㈜직영 상계주유소,서울 노원구 노해로 527 (상계동),노원구,SK에너지,1579,1509,N,Y,N,N,N,N,37.6559391,127.0664063
상계동주유소,서울 노원구 노원로26길 191 (상계동),노원구,HD현대오일뱅크,1595,1525,N,N,N,Y,N,N,37.6583938,127.0711375
신성주유소,서울 노원구 월계로 328 (월계동),노원구,S-OIL,1598,1498,Y,Y,N,N,N,Y,37.6287786,127.0573351
하계삼호주유소,서울 노원구 공릉로 294 (하계동),노원구,GS칼텍스,1695,1635,N,N,N,Y,N,N,37.6336171,127.0722855
이케이에너지 주식회사,서울 도봉구 도봉로 941 (도봉동),도봉구,HD현대오일뱅크,1490,1415,Y,Y,N,N,N,N,37.6884305,127.0453374
(주)자연에너지 햇살주유소,서울 도봉구 방학로 142 (방학동),도봉구,HD현대오일뱅크,1499,1424,Y,Y,N,N,N,N,37.6630015,127.0363325
지에스칼텍스㈜ 도봉주유소,서울 도봉구 도봉로 895 (도봉동),도봉구,GS칼텍스,1499,1424,Y,Y,Y,Y,N,Y,37.6843915,127.0456569
삼미북부셀프주유소,서울 도봉구 도봉로 437 (쌍문동),도봉구,SK에너지,1499,1424,Y,Y,N,N,N,Y,37.6498293,127.0200197
지에스칼텍스㈜ 방학동주유소,서울 도봉구 방학로 186,도봉구,GS칼텍스,1499,1424,Y,Y,N,N,N,N,37.6624108,127.0314758
(주)쌍문셀프주유소,서울 도봉구 노해로 161 (쌍문동),도봉구,HD현대오일뱅크,1499,1424,Y,Y,N,Y,N,N,37.649024,127.02688
