,상호,주소,가격,셀프,상표,구
188,신양주유소,서울 양천구 지양로 67,1669.0,N,SK에너지,양천구
189,(주)대청에너지 대청주유소,서울 영등포구 가마산로 328 (대림동),1489.0,Y,GS칼텍스,영등포구
190,영등포현대셀프주유소,서울 영등포구 경인로 822 (영등포동),1489.0,Y,HD현대오일뱅크,영등포구
191,영등포제일셀프주유소,서울 영등포구 가마산로 379,1489.0,Y,HD현대오일뱅크,영등포구
192,성락주유소,서울 영등포구 가마산로 414 (신길동),1489.0,Y,S-OIL,영등포구
193,남서울고속주유소,서울 영등포구 가마산로 367 (대림동),1489.0,Y,SK에너지,영등포구
194,(주)강서오일,서울 영등포구 도신로 151,1489.0,Y,HD현대오일뱅크,영등포구
195,행촌주유소,서울 영등포구 도신로 130 (신길동),1489.0,Y,SK에너지,영등포구
196,한경석유(주)경덕주유소,서울 영등포구 여의대방로23길 2 (신길동),1489.0,Y,SK에너지,영등포구
197,도림주유소,서울 영등포구 도림로 343 (도림동),1489.0,Y,알뜰주유소,영등포구
198,(주)MS에너지,서울 영등포구 대림로 230,1489.0,N,HD현대오일뱅크,영등포구
199,지에스칼텍스㈜ 신길주유소,서울 영등포구 신길로 74 (신길동),1499.0,Y,GS칼텍스,영등포구
200,HD현대오일뱅크㈜직영 대일셀프주유소,서울 영등포구 영등포로 168,1573.0,Y,HD현대오일뱅크,영등포구
201,㈜지에스이앤알 모드니주유소,서울 영등포구 경인로 789,1575.0,N,GS칼텍스,영등포구
202,(주)지에스이앤알 보라주유소,서울 영등포구 영등포로 399 (신길동),1575.0,N,GS칼텍스,영등포구
203,씨앤에스유통 한성주유소,서울 영등포구 여의대방로 227,1575.0,N,S-OIL,영등포구
204,매봉주유소,서울 영등포구 도신로 248 (신길동),1575.0,Y,HD현대오일뱅크,영등포구
205,SK에너지(주) 신길동주유소,서울 영등포구 영등포로 348 (신길동),1579.0,N,SK에너지,영등포구
206,지에스칼텍스㈜ 화일주유소,서울 영등포구 도림로 415,1589.0,Y,GS칼텍스,영등포구
207,SK에너지(주) 양평주유소,서울 영등포구 선유로 195 (양평동3가),1589.0,Y,SK에너지,영등포구
208,(주)한미석유 제2한강주유소,서울 영등포구 선유로 260 (양평동4가),1589.0,Y,GS칼텍스,영등포구
209,선유도주유소,서울 영등포구 양평로 141 (양평동5가),1599.0,Y,S-OIL,영등포구
210,SK에너지(주) 기린주유소,서울 영등포구 선유로 270,1599.0,Y,SK에너지,영등포구
211,국회대로주유소,서울 영등포구 국회대로 746 (여의도동),1975.0,N,HD현대오일뱅크,영등포구
